Ticket Class,Ticket Priority,Ticket Number,Ticket Status,Ticket Status Original,Opened Date,Hostname,OS Type,Ticket Summary,Queue ID,Ticket Resolved Date,Resolution Code,Resolution Text,Ticket Closed Date,Call code,Reported By,Executed Automata,Recommended Automata,Actionable,Assignment Queue,Autogenerated,Automation Engine,Business Application,Closure Code,Sub Category,Target Finish Date,Time to resolve (min),Category,Alert Key,Comments & Work Notes
"INCIDENT","1","IN88187277","IN PROGRESS","INPROG","Nov 1, 2025 2:36 AM","fgceogqt054","UNIX","acme#Reports that for node RZ:TDMDBP-acme_efbdnftw610:RDB the warning message with Message ID ORA-08103","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"ACME_DC_Application9","",,,,"database-handler","cnn_jdr_voqe_jsd",
"INCIDENT","1","IN86647830","SLA HOLD","SLAHOLD","Nov 1, 2025 12:43 AM","conqt467gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","server-unavailable","Y","Y","Y",0,"ACME_DC_Application43","",,,,"server-unavailable","cnn_hqq_v41h_owqcn_igp",
"INCIDENT","2","IN86647423","SLA HOLD","SLAHOLD","Oct 31, 2025 5:33 PM","qmn3","AIX 7.3","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,,"",,,,"high-memory-swap-space-handler","acme002_qucnnpe_vsvu_ckv",
"INCIDENT","2","IN86644902","SLA HOLD","SLAHOLD","Oct 30, 2025 12:25 AM","conqt456du4f","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application46","",,,,"unknown","cnn_rqcsrgv_i56e_mpc",
"INCIDENT","1","IN86644645","SLA HOLD","SLAHOLD","Oct 29, 2025 6:49 PM","conqt467qqo4n","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","disk-handler","Y","Y","Y",0,"ACME_DC_Application45","",,,,"disk-handler","cnn_fqmqneg_i40h_owqcn_igp",
"INCIDENT","2","IN86532187","SLA HOLD","SLAHOLD","Oct 28, 2025 11:53 PM","vonqc457ngee4","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86539038","SLA HOLD","SLAHOLD","Oct 26, 2025 6:33 PM","vonqn455fugo4","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,"ACME_DC_Application18","",,,,"high-memory-swap-space-handler","acme002_tkpogo_pnxe_pgfjcr",
"INCIDENT","2","IN86539743","SLA HOLD","SLAHOLD","Oct 26, 2025 1:07 PM","conqt454o5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application36","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86537370","QUEUED","QUEUED","Oct 25, 2025 1:56 PM","conqt464mfk4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QIF-DPO-RQO-DSP",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application24","",,,,"unknown","cnn_nmiqrcr_v416_fd6_igp",
"INCIDENT","2","IN86537976","SLA HOLD","SLAHOLD","Oct 25, 2025 6:45 AM","conqt467gee4n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application43","",,,,"unknown","cnn_hqq_v41e_owqcn_igp",
"INCIDENT","2","IN86537823","QUEUED","QUEUED","Oct 25, 2025 5:49 AM","conqt464gee9n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc8_owqcn",
"INCIDENT","2","IN86537817","QUEUED","QUEUED","Oct 25, 2025 5:29 AM","conqt464gee9n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc8_owqcn",
"INCIDENT","2","IN86537867","QUEUED","QUEUED","Oct 25, 2025 4:21 AM","conqt464gee9n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc8_owqcn",
"INCIDENT","2","IN86537730","QUEUED","QUEUED","Oct 25, 2025 3:56 AM","conqt464gee9n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc8_owqcn",
"INCIDENT","2","IN86537570","QUEUED","QUEUED","Oct 25, 2025 12:02 AM","vonqc464ngeen","UNIX","It is Incident Short Description","K-FRG-VV-ENF-EN7-CSRMO",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86537575","QUEUED","QUEUED","Oct 25, 2025 12:01 AM","vonqc464ngeek","UNIX","It is Incident Short Description","K-FRG-VV-ENF-EN7-CSRMO",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86537424","QUEUED","QUEUED","Oct 25, 2025 12:01 AM","vonqc464ngeet","UNIX","It is Incident Short Description","K-FRG-VV-ENF-EN7-CSRMO",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86537411","QUEUED","QUEUED","Oct 25, 2025 12:01 AM","conqt464gee2n","UNIX","It is Incident Short Description","K-FRG-VV-ENF-EN7-CSRMO",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application44","",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","2","IN86536223","SLA HOLD","SLAHOLD","Oct 24, 2025 9:31 PM","conqt464jcp5q","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCS",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,"ACME_DC_Application24","",,,,"high-memory-swap-space-handler","acme002_tkpogo_pnxe_qsqg",
"INCIDENT","2","IN86534697","QUEUED","QUEUED","Oct 23, 2025 4:11 AM","conqt464gee9n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application2","",,,,"unknown","acme002_cneeoq_iqc8_owqcn",
"INCIDENT","1","IN88142962","SLA HOLD","SLAHOLD","Oct 17, 2025 5:35 PM","fgceogqt355","UNIX","acme#Only 14.84 Percent free Space are left on ASM Disk Group GIBCDATA on Node RZ:VERTEXT-acme_efbdnftw","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_fkqmqn_ipxe_mpcpce",
"INCIDENT","1","IN88142969","SLA HOLD","SLAHOLD","Oct 17, 2025 5:35 PM","fgceogqt356","UNIX","acme#Only 14.84 Percent free Space are left on ASM Disk Group GIBCDATA on Node RZ:GIBC-acme_efbdnftw912","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"ACME_DC_Application14","",,,,"database-handler","cnn_fkqmqn_ipxe_mpcpce",
"INCIDENT","2","IN86525196","SLA HOLD","SLAHOLD","Oct 17, 2025 4:13 PM","conqt454o5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application36","",,,,"unknown","acme002_cneeoq_iqc6_owqcn",
"INCIDENT","2","IN86519951","SLA HOLD","SLAHOLD","Oct 14, 2025 3:38 AM","vonqc460rgee5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","acme002_cneeoq_iqc7_owqcn",
"INCIDENT","2","IN86518311","IN PROGRESS","INPROG","Oct 13, 2025 4:11 PM","conqt48646nnp","UNIX","It is Incident Short Description","K-FRG-VV-ENF-EN7-CSRMO",,"AUTOMATION","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application20","",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
"INCIDENT","1","IN88038200","IN PROGRESS","INPROG","Oct 11, 2025 3:25 PM","fgceogqt346","UNIX","acme#Reports that for node RZ:GIBP-acme_efbdnftw902:RDB the warning message with Message ID ORA-01555 a","K-QQM-KP-FCR-FDO-CEOG-MPC",,"UNKNOWN","",,"EVENTMANAGEMENT","x","","database-handler","Y","Y","Y",1,"WebGUI-Primary-Prod-Shared2","",,,,"database-handler","cnn_ruqlqrc_i58u_ruq",
"INCIDENT","2","IN86515981","SLA HOLD","SLAHOLD","Oct 11, 2025 3:02 PM","conqt467qqo4f","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","disk-handler","Y","Y","Y",0,"AIOPS Staging","",,,,"disk-handler","cnn_fqmqneg_i40e_owqcn_igp",
"INCIDENT","2","IN86503295","SLA HOLD","SLAHOLD","Oct 10, 2025 6:55 PM","vonqc457nnk4","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application4","",,,,"unknown","cnn_spnomp_v41e_owqcnlctc_igp",
"INCIDENT","2","IN86501129","SLA HOLD","SLAHOLD","Oct 9, 2025 3:53 PM","vonqn455nmrv4cn","LINUX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application3","",,,,"unknown","cnn_spnomp_p42e_owqcnlctc_igp",
"INCIDENT","2","IN86500910","SLA HOLD","SLAHOLD","Oct 8, 2025 8:18 PM","conqt454o5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,"ACME_DC_Application36","",,,,"high-memory-swap-space-handler","acme002_qmnocpucp_iqce_qcnjcpc",
"INCIDENT","2","IN86591899","SLA HOLD","SLAHOLD","Oct 3, 2025 8:33 AM","conqt453gee1n","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","high-memory-swap-space-handler","Y","Y","Y",0,"ACME_DC_Application48","",,,,"high-memory-swap-space-handler","acme002_qucnnpe_vsvu_ckv",
"INCIDENT","1","IN86558931","SLA HOLD","SLAHOLD","Sep 17, 2025 3:25 PM","conqt454o5","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application36","",,,,"unknown","cnn_hqq_v41h_owqcn_igp",
"INCIDENT","2","IN86544113","SLA HOLD","SLAHOLD","Sep 12, 2025 7:29 PM","conqu479ngee4","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,,"",,,,"unknown","cnn_unqnpd_i40e_ukp",
"INCIDENT","2","IN86427063","SLA HOLD","SLAHOLD","Sep 6, 2025 1:55 PM","conqt467qqo4f","WINDOWS","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","disk-handler","Y","Y","Y",0,"AIOPS Staging","",,,,"disk-handler","cnn_fqmqneg_i40e_owqcn_igp",
"INCIDENT","2","IN86487117","SLA HOLD","SLAHOLD","Aug 23, 2025 5:29 PM","conqt477du4f","UNIX","It is Incident Short Description","K-QWQ-KP-FQR-QOF-SPK-DCSQCN",,"UNKNOWN","It is Incident Resolution",,"EVENTMANAGEMENT","x","","","Y","Y","Y",0,"ACME_DC_Application24","",,,,"unknown","cnn_npmeomp_v41e_owqcn_t6_igp",
